"ID","OS","MEMORY_GB","CPU_CORES","DISK_GB","LOCATION","OWNER","PROVIDER","STATUS","LAST_UPDATED","TAGS"
"012e5817-c9cb-4e2c-bb19-20079909c08a","Windows Server",179,16,3877,"Mexico","Michael Mayo","Google Cloud Platform","Paused","2023-05-03 04:11:38.000","{""costCenter"":922,""instanceId"":""369-db-d53ce72a56471a3"",""name"":""it""}"
"01863a5f-ad58-47b1-b654-af84efda09ae","Debian",142,25,405,"Heard Island and McDonald Islands","Steven Goodman","Amazon Web Services","Paused","2023-05-07 11:41:18.000","{""costCenter"":371,""instanceId"":""i-18d4d2ec"",""name"":""who""}"
"019adb40-c0cc-4a8f-bf6e-15ff02b5dce7","Windows Server",161,20,971,"Malawi","April Cervantes","Google Cloud Platform","Stopped","2023-05-09 02:06:12.000","{""costCenter"":558,""instanceId"":""437-dc-39ac4e8ba8dc562"",""name"":""those""}"
"021646fb-67da-45b3-be9b-adea8d73f01d","Red Hat Enterprise Linux",91,47,2342,"Congo","Christopher Richardson","Amazon Web Services","Running","2023-05-06 20:41:58.000","{""costCenter"":990,""instanceId"":""i-f6c8e3a2"",""name"":""tax""}"
"022c64a3-cf53-4d13-bdb7-f5611458c2d0","Red Hat Enterprise Linux",137,39,4053,"Maldives","Richard Smith","Amazon Web Services","Paused","2023-05-06 23:46:34.000","{""costCenter"":780,""instanceId"":""i-e44c6af5"",""name"":""gas""}"
"02e1de3a-69c7-42e4-be19-8af7495a146f","Red Hat Enterprise Linux",127,21,3945,"Niue","Anthony Nash","Google Cloud Platform","Stopped","2023-05-02 10:49:15.000","{""costCenter"":138,""instanceId"":""21a-fd-4256bf5f3ea3849"",""name"":""region""}"
"03076d2d-13fb-4d03-bf55-da5d2a1f61fb","Ubuntu",36,24,2228,"Dominican Republic","Kimberly Kline","Google Cloud Platform","Running","2023-05-09 05:45:36.000","{""costCenter"":962,""instanceId"":""c0d-77-191c4762c030899"",""name"":""factor""}"
"031fa001-3b70-45cf-8256-4a302046a63b","Windows Server",144,3,1317,"Cook Islands","Chase Bryant","Amazon Web Services","Running","2023-05-03 22:33:30.000","{""costCenter"":431,""instanceId"":""i-52243b42"",""name"":""they""}"
"03f4651c-6bf2-4032-a6ba-61c1c2579851","Windows Server",33,28,2127,"Ethiopia","Crystal Lin","Google Cloud Platform","Paused","2023-05-02 20:47:04.000","{""costCenter"":520,""instanceId"":""a00-0f-5d5164ba28e6d20"",""name"":""industry""}"
"04a7beb0-23eb-46da-bca0-a06f44b4cc26","Debian",96,4,2803,"New Zealand","Cristina Hines","Microsoft Azure","Paused","2023-05-02 18:33:37.000","{""costCenter"":749,""instanceId"":""i-242e92-d8379-4295e"",""name"":""myself""}"
"0509c0d7-5f27-410d-8bc1-83e0a9a2cdd7","Ubuntu",216,36,3629,"Argentina","Joe Harris","Google Cloud Platform","Stopped","2023-05-07 04:56:18.000","{""costCenter"":290,""instanceId"":""56e-19-73ee035b0b4bdb5"",""name"":""watch""}"
"0517a055-3422-46af-aa28-6c41bfe101b3","Windows Server",10,60,3604,"Holy See (Vatican City State)","Amy Yates","Amazon Web Services","Paused","2023-05-07 19:33:09.000","{""costCenter"":387,""instanceId"":""i-8272bf90"",""name"":""answer""}"
"057b935f-df1a-46d6-bc33-d3d5b1f9c03d","Windows Server",46,1,2643,"Singapore","Christine Warner","Amazon Web Services","Running","2023-05-03 02:57:50.000","{""costCenter"":280,""instanceId"":""i-feb4e903"",""name"":""represent""}"
"0599ed98-0208-4e16-a7a4-73a9323cec62","Ubuntu",153,59,1784,"Indonesia","Sherry Robinson","Google Cloud Platform","Running","2023-05-08 08:01:00.000","{""costCenter"":557,""instanceId"":""7b9-1e-45bf51d3805b7ef"",""name"":""for""}"
"062640ed-ca8c-4818-bded-2470a4204583","Debian",69,27,2354,"Jersey","Mary Alvarez","Google Cloud Platform","Paused","2023-05-07 21:24:13.000","{""costCenter"":315,""instanceId"":""44c-19-4c0d688212825b6"",""name"":""notice""}"
"07a1dbc6-02f8-4e89-b257-b4243b9daacf","Red Hat Enterprise Linux",85,45,3172,"Chad","Paula Avila","Microsoft Azure","Paused","2023-05-06 19:36:27.000","{""costCenter"":478,""instanceId"":""i-7b4c21-6f3d5-ef31b"",""name"":""not""}"
"07d8d9f2-41a9-468d-bf52-8293a30f05d4","Debian",103,28,1668,"Grenada","Tina Jacobs","Amazon Web Services","Stopped","2023-05-08 06:02:25.000","{""costCenter"":180,""instanceId"":""i-d48ea377"",""name"":""where""}"
"08da0e4a-b4a5-43bd-99bf-93e5bb7580d5","CentOS",233,26,1905,"Mozambique","Jennifer Perez","Microsoft Azure","Running","2023-05-07 07:16:59.000","{""costCenter"":598,""instanceId"":""i-9500f7-283f1-446fb"",""name"":""right""}"
"0910f248-3d3a-4ebd-bd38-868dfd95ba09","Red Hat Enterprise Linux",196,40,1729,"Slovakia (Slovak Republic)","Paige Holmes","Microsoft Azure","Running","2023-05-02 23:54:00.000","{""costCenter"":457,""instanceId"":""i-348794-d0e18-b9067"",""name"":""four""}"
"091d2670-1cf2-4ac1-aed3-fa44477bacac","CentOS",53,63,2003,"Mali","Mr. Robert Adams","Google Cloud Platform","Running","2023-05-06 12:53:44.000","{""costCenter"":307,""instanceId"":""b3e-04-bd20e87089b3c5f"",""name"":""you""}"
"0922aa32-3909-4553-bf3c-ab082cce3575","Debian",247,5,293,"Netherlands","Loretta Sanchez","Amazon Web Services","Paused","2023-05-01 00:35:54.000","{""costCenter"":670,""instanceId"":""i-6843e026"",""name"":""loss""}"
"0960b303-9604-4f36-9a71-8097b8fc1091","Debian",93,22,1543,"Pakistan","Kevin Thompson","Google Cloud Platform","Stopped","2023-05-01 11:46:40.000","{""costCenter"":476,""instanceId"":""b5e-d0-de3aa2bff7607a2"",""name"":""woman""}"
